anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
MtbTXANUqM,53968,uncover blue all,9,uncover,8,11,"(82, 81)",0
MtbTXANUqM,53968,uncover blue all,9,uncover,8,12,"(83, 82)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,13,"(84, 64)",1
MtbTXANUqM,53968,uncover blue all,9,uncover,8,14,"(75, 72)",1
MtbTXANUqM,53968,uncover green all,10,uncover,4,0,"(73, 90)",0
MtbTXANUqM,53968,uncover green all,10,uncover,4,1,"(78, 73)",1
MtbTXANUqM,53968,uncover green all,10,uncover,4,2,"(63, 79)",1
MtbTXANUqM,53968,uncover green all,10,uncover,4,3,"(81, 62)",1
MtbTXANUqM,53968,uncover green all,10,uncover,4,4,"(65, 82)",1
cPbriGMj7J,26365,clear nocolor A2,1,clear,4,0,"(77, 54)",1
cPbriGMj7J,26365,clear nocolor A2,1,clear,4,1,"(75, 55)",1
cPbriGMj7J,26365,clear nocolor A2,1,clear,4,2,"(93, 56)",1
cPbriGMj7J,26365,clear nocolor A2,1,clear,4,3,"(95, 60)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,0,"(67, 94)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,1,"(85, 76)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,2,"(102, 55)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,3,"(103, 56)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,4,"(104, 54)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,5,"(105, 62)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,6,"(88, 61)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,7,"(106, 60)",1
cPbriGMj7J,26365,clear nocolor C,2,clear,9,8,"(107, 42)",1
cPbriGMj7J,26365,cover blue all,3,cover,6,0,"(73, 54)",0
cPbriGMj7J,26365,cover blue all,3,cover,6,1,"(91, 36)",1
cPbriGMj7J,26365,cover blue all,3,cover,6,2,"(74, 18)",1
cPbriGMj7J,26365,cover blue all,3,cover,6,3,"(75, 0)",0
cPbriGMj7J,26365,cover blue all,3,cover,6,4,"(92, 75)",1
cPbriGMj7J,26365,cover blue all,3,cover,6,5,"(78, 59)",1
cPbriGMj7J,26365,cover blue all,3,cover,6,6,"(67, 47)",1
cPbriGMj7J,26365,cover blue all,3,cover,6,7,"(107, 70)",1
