"anonID","importId","goal","goal_number","goal_type","min_moves","move_id","move","move_utility","move_type","gameId","playerId"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,3,"(103, 52)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,4,"(84, 53)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,5,"(102, 33)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,6,"(83, 34)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,7,"(101, 35)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,8,"(62, 15)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,9,"(99, 16)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"aWWYOjqXBU","64140","fill nocolor C2",6,"fill",11,10,"(97, 17)",1,"useful","0cae946d-59de-4a1d-b86b-aa54c9d67371","5f9920fdbcbfb224a0c96932"
"Nw3Oi6Ve8i","36524","cover red all",4,"cover",6,0,"(72, 74)",1,"useful","66d8b0c6-fa0f-4afe-a259-c3c15605fc4b","Shashu Srivatsan"
"Nw3Oi6Ve8i","36524","cover red all",4,"cover",6,1,"(90, 75)",1,"useful","66d8b0c6-fa0f-4afe-a259-c3c15605fc4b","Shashu Srivatsan"
"Nw3Oi6Ve8i","36524","cover red all",4,"cover",6,2,"(60, 76)",1,"useful","66d8b0c6-fa0f-4afe-a259-c3c15605fc4b","Shashu Srivatsan"
"Nw3Oi6Ve8i","36524","cover red all",4,"cover",6,3,"(83, 63)",1,"useful","66d8b0c6-fa0f-4afe-a259-c3c15605fc4b","Shashu Srivatsan"
"Nw3Oi6Ve8i","36524","cover red all",4,"cover",6,4,"(101, 59)",1,"useful","66d8b0c6-fa0f-4afe-a259-c3c15605fc4b","Shashu Srivatsan"
"Nw3Oi6Ve8i","36524","cover red all",4,"cover",6,5,"(67, 87)",1,"useful","66d8b0c6-fa0f-4afe-a259-c3c15605fc4b","Shashu Srivatsan"
