anonID,importId,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
SwLumK1iN9,29690,move red A,"(60, 57)",2,6,"[(106, 92) (107, 92)]",1.0,30,14.484,"['fill nocolor A2', 'move red A', 'clear nocolor B1', 'cover blue all', 'move red A2', 'clear nocolor B']"
SwLumK1iN9,29690,move red C,"(62, 84)",30,15,"[(60, 88) (60, 89) (79, 88) (79, 89) (60, 67) (60, 68) (60, 84) (60, 87)
 (75, 88) (75, 89) (79, 67) (79, 68) (79, 84) (79, 87) (62, 67) (75, 58)
 (75, 59) (75, 92) (75, 36) (75, 37) (62, 88) (62, 89) (75, 99) (75, 67)
 (75, 68) (75, 82) (75, 83) (75, 84) (75, 87) (62, 68)]",1.0,32,15.305,"['move red C1', 'move blue C1', 'move blue A', 'move red C', 'uncover blue all', 'fill nocolor C1', 'uncover red all', 'clear nocolor B1', 'move blue C2', 'clear nocolor B', 'move blue B2', 'move blue A1', 'move blue A2', 'move blue C', 'cover green all']"
SwLumK1iN9,29690,uncover blue all,"(76, 59)",1,2,"[(55, 92)]",1.0,60,29.499,"['uncover blue all', 'cover green all']"
SwLumK1iN9,29690,uncover red all,"(62, 84)",46,15,"[(60, 99) (79, 99) (60, 82) (60, 83) (79, 82) (79, 83) (60, 92) (79, 92)
 (60, 36) (60, 37) (60, 58) (60, 59) (60, 67) (60, 68) (60, 84) (60, 87)
 (79, 36) (79, 37) (79, 58) (79, 59) (79, 67) (79, 68) (79, 84) (79, 87)
 (62, 36) (62, 37) (62, 58) (62, 67) (75, 58) (75, 59) (75, 92) (62, 99)
 (75, 36) (75, 37) (62, 82) (62, 83) (75, 99) (62, 92) (75, 67) (75, 68)
 (75, 82) (75, 83) (75, 84) (75, 87) (62, 59) (62, 68)]",1.0,48,23.1,"['move red C1', 'move blue C1', 'move blue A', 'move red C', 'uncover blue all', 'fill nocolor C1', 'uncover red all', 'clear nocolor B1', 'move blue C2', 'clear nocolor B', 'move blue B2', 'move blue A1', 'move blue A2', 'move blue C', 'cover green all']"
z8UNTObuWf,68825,clear nocolor C,"(102, 82)",15,6,"[(86, 38) (86, 57) (86, 58) (86, 55) (102, 38) (102, 47) (102, 55)
 (102, 57) (102, 58) (102, 60) (102, 61) (102, 72) (102, 77) (102, 80)
 (102, 81)]",1.0,72,35.552,"['fill nocolor B2', 'clear nocolor C', 'cover red all', 'move blue B2', 'move blue B', 'clear nocolor C1']"
z8UNTObuWf,68825,clear nocolor C1,"(86, 89)",11,5,"[(86, 69) (86, 70) (102, 69) (102, 70) (102, 89) (103, 69) (103, 70)
 (103, 89) (86, 38) (86, 57) (86, 58)]",1.0,45,22.247,"['uncover blue all', 'fill nocolor C2', 'move blue C2', 'cover green all', 'clear nocolor C1']"
z8UNTObuWf,68825,cover blue all,"(90, 38)",2,1,"[(75, 58) (76, 57)]",1.0,80,37.516,['cover blue all']
z8UNTObuWf,68825,cover red all,"(56, 72)",58,10,"[(99, 82) (100, 81) (102, 85) (107, 70) (86, 85) (86, 70) (90, 77)
 (95, 72) (98, 81) (98, 82) (102, 70) (103, 70) (107, 85) (79, 81)
 (79, 82) (90, 70) (90, 81) (90, 82) (90, 85) (95, 70) (95, 81) (95, 82)
 (95, 85) (98, 70) (98, 72) (98, 77) (98, 85) (99, 70) (99, 72) (99, 77)
 (99, 85) (100, 70) (100, 72) (100, 77) (100, 85) (102, 72) (102, 77)
 (102, 81) (102, 82) (103, 72) (103, 77) (103, 81) (103, 82) (107, 72)
 (107, 77) (107, 81) (107, 82) (79, 70) (79, 72) (79, 77) (79, 85)
 (86, 72) (86, 77) (86, 81) (86, 82) (73, 70) (73, 72) (87, 70)]",1.0,78,38.354,"['uncover blue all', 'move green B2', 'move green B', 'move green B1', 'cover red all', 'move green C', 'uncover green all', 'move green A2', 'move green C2', 'move green C1']"
z8UNTObuWf,68825,fill nocolor A2,"(56, 77)",40,13,"[(73, 57) (73, 58) (90, 57) (90, 58) (90, 77) (86, 57) (86, 58) (98, 57)
 (98, 58) (98, 77) (99, 57) (99, 58) (99, 77) (100, 57) (100, 58)
 (100, 77) (102, 57) (102, 58) (102, 77) (103, 57) (103, 58) (103, 77)
 (107, 57) (107, 58) (107, 77) (78, 77) (79, 57) (79, 58) (79, 77)
 (86, 77) (88, 57) (88, 58) (65, 77) (78, 57) (78, 58) (65, 57) (65, 58)
 (56, 57) (56, 58) (73, 77)]",1.0,45,21.584,"['uncover blue all', 'fill nocolor A2', 'move green B2', 'move green B', 'clear nocolor A1', 'move green B1', 'cover red all', 'move green C', 'uncover green all', 'move green A2', 'move blue A2', 'move green C2', 'move green C1']"
z8UNTObuWf,68825,fill nocolor C2,"(86, 89)",9,5,"[(86, 69) (86, 70) (102, 69) (102, 70) (102, 89) (103, 69) (103, 70)
 (103, 89) (79, 89)]",1.0,45,21.794,"['uncover blue all', 'fill nocolor C2', 'move blue C2', 'cover green all', 'clear nocolor C1']"
