"ID","goal_type","model","parameter1","parameter2","NLL"
"19487","move","sal_prag",1.02208614698084,1.37951742844028,82.6109983027328
"19487","move","literal",47.8649667171058,NA,100.866041751078
"19487","move","pragmatic",0.175804963657996,0.806960450658307,88.5619374749903
"19487","uncover","sal_prag",-0.310706852798218,1.72440273787112,53.5418060804748
"19487","uncover","literal",47.8649667171058,NA,31.2347021464774
"19487","uncover","pragmatic",0.636437488856989,0.895552427186269,56.2678200414567
"19737","clear","sal_prag",1.55605612643434,1.77185905285036,69.9428381069886
"19737","clear","literal",53.0770695696934,NA,48.4467271381994
"19737","clear","pragmatic",0.832785365147485,0.25884678978419,72.9654503821718
"19737","cover","sal_prag",1.12584976240584,1.13796352127066,54.5020842471101
"19737","cover","literal",53.0770695696934,NA,37.0896687953625
"19737","cover","pragmatic",0.695004853423953,0.908341662401108,61.5705833146804
"19737","fill","sal_prag",0.502459715991705,0.743115818687325,85.4417269519562
"19737","fill","literal",53.0770695696934,NA,55.0373026314597
"19737","fill","pragmatic",0.0951823822843629,0.69308706996303,87.8416134060265
"19737","move","sal_prag",1.22926724832159,0.904894947045703,70.9249438768679
"19737","move","literal",53.0770695696934,NA,98.7597674103034
"19737","move","pragmatic",0.490769022395112,0.658140923726212,78.6555754720266
"19737","uncover","sal_prag",-0.530969529371253,2.55748972102003,61.1052701260902
"19737","uncover","literal",53.0770695696934,NA,143.028085239383
"19737","uncover","pragmatic",0.550782090939293,0.975876535709839,67.68780362692
"20272","clear","sal_prag",-2.28131717963119,-0.417436964660588,31.1485102743786
"20272","clear","literal",42.8634684923247,NA,24.7370949235078
"20272","clear","pragmatic",0.739315233869648,0.633442193990667,39.6687397066792
"20272","cover","sal_prag",0.833250985519774,0.811255878290283,43.4649706987293
"20272","cover","literal",42.8634684923247,NA,26.401130745543
"20272","cover","pragmatic",0.795156069957242,0.427560493379681,44.9513988642322
"20272","fill","sal_prag",0.558291897837702,0.837580019998323,108.261149722301
"20272","fill","literal",42.8634684923247,NA,155.702315703764
"20272","fill","pragmatic",0.609440412030377,0.293002897474836,111.251672889822
"20272","move","sal_prag",1.35076995096238,1.22601263872002,48.3703572485503
"20272","move","literal",42.8634684923247,NA,64.4699426387192
"20272","move","pragmatic",1.8401458039168,5.13204856876751,53.7649968086927
"20272","uncover","sal_prag",1.34550858487039,1.07435998404232,44.4708388617418
"20272","uncover","literal",42.8634684923247,NA,29.9289232610182
"20272","uncover","pragmatic",0.48574613151267,0.64083089085476,56.9702227490578
"20340","clear","sal_prag",-0.380404268113277,1.48789881761607,51.4197708488789
"20340","clear","literal",40.4328319170571,NA,36.5625475009269
"20340","clear","pragmatic",1.65196065617197,45.73732994863,51.4523837424815
"20340","cover","sal_prag",0.678117599971386,0.571756098465784,46.3437921819824
"20340","cover","literal",40.4328319170571,NA,28.2296199026116
"20340","cover","pragmatic",0.971623653227389,0.567446459151497,49.832085305452
"20340","fill","sal_prag",0.88617202556011,1.04227621529589,84.0464248828918
"20340","fill","literal",40.4328319170571,NA,56.438389245621
"20340","fill","pragmatic",0.842805034592189,0.341668605830913,88.9095595293748
"20340","move","sal_prag",1.35564372983796,0.893768920046655,50.1374027183006
"20340","move","literal",40.4328319170571,NA,35.1557603679499
"20340","move","pragmatic",0.683312752835772,0.624684880600544,56.0423395975317
"20340","uncover","sal_prag",7.16272292244897,11.5934897059876,49.6877377998501
"20340","uncover","literal",40.4328319170571,NA,29.8721243119748
"20340","uncover","pragmatic",1.00769391474712,0.476876250975176,56.9032177763666
"22765","clear","sal_prag",1.21586963770218,1.15769530616944,67.3913118914319
"22765","clear","literal",44.6675214185982,NA,45.8972819672739
"22765","clear","pragmatic",0.575823101509521,0.897421770502441,72.7633832832507
"22765","cover","sal_prag",2.20751044045826,2.03338445282505,86.9761002444777
"22765","cover","literal",44.6675214185982,NA,551.40604157817
"22765","cover","pragmatic",0.723554223706256,0.215393704181774,89.5671366035717
"22765","fill","sal_prag",0.726507856976619,0.802949426532502,89.7245543723625
"22765","fill","literal",44.6675214185982,NA,59.102476816382
"22765","fill","pragmatic",0.575499769378692,0.307773943589094,94.0692985588551
"22765","move","sal_prag",-0.117819087406473,0.299489763933308,110.273819162466
"22765","move","literal",44.6675214185982,NA,418.522319751697
"22765","move","pragmatic",0.119030497412722,0.874906900446789,112.585908935909
"22765","uncover","sal_prag",0.241625121340605,-0.0963040844882967,321.819693480953
"22765","uncover","literal",44.6675214185982,NA,2666.0351712228
"22765","uncover","pragmatic",0.240123427029347,0.0681390236819831,326.549964479123
"24954","clear","sal_prag",0.974052895845966,1.02321013380554,59.1464844569471
"24954","clear","literal",48.31003857393,NA,38.9309147858238
"24954","clear","pragmatic",0.141634890069653,0.89526959554956,61.3498062583366
"24954","cover","sal_prag",1.63112121589454,1.65536895061057,32.8161467615901
"24954","cover","literal",48.31003857393,NA,23.1814332628632
"24954","cover","pragmatic",0.935955940517823,0.20519784801548,39.0376433951298
"24954","fill","sal_prag",1.06697063457624,1.402799767366,88.600459612195
"24954","fill","literal",48.31003857393,NA,56.6750535556821
"24954","fill","pragmatic",0.927426173509545,0.803945722503353,92.5760282463062
"24954","move","sal_prag",1.00009099773337,1.62374819826404,82.2204918279719
"24954","move","literal",48.31003857393,NA,53.479167083696
"24954","move","pragmatic",0.672765090347417,0.600373940696343,89.76256119395
"24954","uncover","sal_prag",2.71014904188843,3.18591095644242,39.6308086881504
"24954","uncover","literal",48.31003857393,NA,26.381543369178
"24954","uncover","pragmatic",0.676847573338966,0.207154271954327,51.2032699411576
"26027","clear","sal_prag",-1.17479562808467,-0.256767892365915,52.922332187076
"26027","clear","literal",41.0608347746622,NA,36.597558034163
"26027","clear","pragmatic",0.65064445152843,0.538155718849285,56.007448523742
"26027","cover","sal_prag",1.10528357381982,1.56722877118001,71.4038349419925
"26027","cover","literal",41.0608347746622,NA,55.9825352546959
"26027","cover","pragmatic",0.784705392410293,0.0252248677047776,89.3828431650252
"26027","fill","sal_prag",0.403814586464605,0.683862875184068,80.4180469021618
"26027","fill","literal",41.0608347746622,NA,51.7476446714073
"26027","fill","pragmatic",0.711730196651351,0.887332707145586,82.2091649462822
"26027","move","sal_prag",1.10816846903458,1.055529865565,70.2346827882237
